Phase A,Phase B,Phase C,Classes
0.810432017539825,0.133534207610689,-0.91192872028541,Healthy
0.671845792915531,0.30145333558137,-0.981624974618655,Healthy
0.523123401042045,0.47394988694564,-1,Healthy
0.346843437671604,0.622100499186729,-0.993789817941765,Healthy
0.160721605607675,0.750674012480923,-0.953640964464974,Healthy
-0.0169954445445164,0.866454736908003,-0.864434690201659,Healthy
-0.188186872111612,0.955734730666448,-0.739880219626839,Healthy
-0.375675615913829,0.986667402271739,-0.610730726307227,Healthy
-0.543916293561928,0.988666721374921,-0.453440282323045,Healthy
-0.682885242445183,0.969491426241341,-0.26959891432157,Healthy
-0.809977730916499,0.902573094229749,-0.0899576309818512,Healthy
-0.910981731970444,0.799773126109564,0.0891326925333811,Healthy
-0.965531616130815,0.681032625408027,0.277167774333977,Healthy
-0.974010002116052,0.547550841439718,0.466209671644097,Healthy
-0.969661129093946,0.375789141551497,0.620192639104755,Healthy
-0.932572768449223,0.190913173370128,0.751968119207724,Healthy
-0.852424451395665,0.00934494346740402,0.866496579679528,Healthy
-0.744343080701632,-0.174314993000909,0.947075002324837,Healthy
-0.62518002221346,-0.368478843860235,0.976328932801241,Healthy
-0.477410962581954,-0.543712506401971,0.977647137959231,Healthy
-0.296881448052274,-0.684619259735847,0.963605002415522,Healthy
-0.112705750992953,-0.807715304859856,0.909618134506292,Healthy
0.06910115428151,-0.908305075804775,0.817056205003751,Healthy
0.255261707172622,-0.968749062770736,0.702388877479009,Healthy
0.445265381923772,-0.981553615135452,0.574222843553878,Healthy
0.605182787000213,-0.976698656287483,0.410902778486258,Healthy
0.73511073095179,-0.949241595149824,0.223725170408778,Healthy
0.849763008770736,-0.877489965797793,0.0396528965422281,Healthy
0.935540123724106,-0.772938837883989,-0.144056291679884,Healthy
0.973410771587251,-0.653971407286573,-0.336537968514912,Healthy
0.975349650567653,-0.512799054050123,-0.518918544387507,Healthy
0.961962404983166,-0.337619447785379,-0.667565887211521,Healthy
0.915014687163676,-0.150892343571511,-0.793095341534732,Healthy
0.826575847521981,0.031908212895625,-0.899351051030461,Healthy
0.717094681954264,0.222348139268209,-0.963953974526533,Healthy
0.593936102221214,0.417776067220484,-0.980586349155179,Healthy
0.438929668808147,0.587742733280182,-0.975251723640336,Healthy
0.259239605516337,0.727803699938821,-0.947088866615147,Healthy
0.0772048661217308,0.84867847080135,-0.878257054188732,Healthy
-0.108065228723751,0.937951771934704,-0.779002911898018,Healthy
-0.30589818795091,0.976035195134223,-0.667365036894041,Healthy
-0.493903284045346,0.978675318654693,-0.532751184679361,Healthy
-0.650413506742988,0.963976216463434,-0.365174413330374,Healthy
-0.782576561702117,0.916541829687751,-0.183666037800741,Healthy
-0.891391473094353,0.831669577522146,-0.000774103624922435,Healthy
-0.954788935067548,0.729261230953932,0.194635720103935,Healthy
-0.971321481769667,0.611864667172771,0.39532154623974,Healthy
-0.966385238071165,0.462099062856411,0.570898873282539,Healthy
-0.937505138504516,0.287832433677219,0.718212799330177,Healthy
-0.872699938695366,0.105715374841837,0.841962442182935,Healthy
-0.779264277984191,-0.0820193112629515,0.932914314907778,Healthy
-0.674449909184172,-0.28481330516324,0.971505449113834,Healthy
-0.546191755115529,-0.478410844022668,0.975168471180747,Healthy
-0.385320049776741,-0.641463690175614,0.960936295852103,Healthy
-0.207893830840261,-0.778744119672976,0.916096101956481,Healthy
-0.0263582932651476,-0.89105854690519,0.835684031308337,Healthy
0.168204053434647,-0.958367879315363,0.737403055728422,Healthy
0.370517662070768,-0.977216127829152,0.624953411804884,Healthy
0.549797635137774,-0.973260933011708,0.480876355483065,Healthy
0.701665587998678,-0.945459179594763,0.311674107713696,Healthy
0.828243700074009,-0.883872676327637,0.131358676354553,Healthy
0.92316454073282,-0.792791984037349,-0.0549831403024332,Healthy
0.965505020829464,-0.690774376873629,-0.258103324174364,Healthy
0.970813264127964,-0.56667950011556,-0.455416859060626,Healthy
0.957955351983949,-0.409558099352618,-0.623073574795882,Healthy
0.914522525926625,-0.235392131168356,-0.766067996441661,Healthy
0.837933905673427,-0.0534975989879633,-0.881971379447304,Healthy
0.742525947534014,0.141318081293231,-0.954245140537592,Healthy
0.635118040131255,0.347769498417731,-0.97548021086081,Healthy
0.496896129547467,0.533102301232532,-0.972616340296453,Healthy
0.333234095103272,0.69143468316964,-0.945910592635528,Healthy
0.156959875510869,0.824111658554143,-0.88613274997912,Healthy
-0.0277290706576678,0.923719175877013,-0.798168233764806,Healthy
-0.230537794831343,0.969963836527012,-0.699770994078534,Healthy
-0.430959050505655,0.976583765750174,-0.580904617074922,Healthy
-0.602102561215508,0.965216229827649,-0.42830679471457,Healthy
